v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,Kinda. First one gets in at twelve! Aah. Speak tomo,,,
ham,Happy birthday to you....dear.with lots of love.rakhesh NRI,,,
ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -,,,
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; ,,,
ham,Mmm thats better now i got a roast down me! iåÕd b better if i had a few drinks down me 2! Good indian?,,,
ham,Arun can u transfr me d amt,,,
spam,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!",,,
ham,So wats ur opinion abt him and how abt is character?,,,
ham,Oh ok i didnt know what you meant. Yep i am baby jontin,,,
ham,Are you in castor? You need to see something,,,
spam,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,,,
ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",,,
ham,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",,,
ham,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\""""",,,
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876",,,
ham,Yup... How Ì_ noe leh...,,,
spam,This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,,,
ham,Ambrith..madurai..met u in arun dha marrge..remembr?,,,
ham,Noooooooo please. Last thing I need is stress. For once in your life be fair.,,,
ham,Good morning pookie pie! Lol hope I didn't wake u up,,,
ham,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",,,
ham,Love you aathi..love u lot..,,,
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,,,
ham,Your dad is back in ph?,,,
ham,Ok... But bag again..,,,
ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,,,
ham,I'll reach in ard 20 mins ok...,,,
ham,Ok i also wan 2 watch e 9 pm show...,,,
ham,Just sleeping..and surfing,,,
ham," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too.",,,
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,,,
ham,Hahaha..use your brain dear,,,
ham,"Yes, i'm small kid.. And boost is the secret of my energy..",,,
ham,This weekend is fine (an excuse not to do too much decorating),,,
ham,Yo im right by yo work,,,
ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",,,
ham,"Oops, I'll let you know when my roommate's done",,,
ham,She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy,,,
ham,Ffffffffff. Alright no way I can meet up with you sooner?,,,
ham,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,,,
ham,"When I was born, GOD said, \Oh No! Another IDIOT\"". When you were born", GOD said," \""OH No! COMPETITION\"". Who knew"," one day these two will become FREINDS FOREVER!"""
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,,,
ham,Sorry completely forgot * will pop em round this week if your still here?,,,
ham,"ThatÛ÷s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",,,
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",,,
ham,No. She's currently in scotland for that.,,,
ham,"Playin space poker, u?",,,
ham,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,,,
ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,,,
ham,But pls dont play in others life.,,,
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:),,,
ham,Oh:)as usual vijay film or its different?,,,
ham,Dun need to use dial up juz open da browser n surf...,,,
ham,We'll join the  &lt;#&gt;  bus,,,
ham,U should have made an appointment,,,
ham,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",,,
ham,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",,,
ham,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.,,,
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",,,
ham,"Greetings me, ! Consider yourself excused.",,,
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,,,
ham,Great. P diddy is my neighbor and comes for toothpaste every morning,,,
ham,Its just the effect of irritation. Just ignore it,,,
ham,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",,,
ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,,,
ham,I love to cuddle! I want to hold you in my strong arms right now...,,,
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",,,
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,,,
ham,No message..no responce..what happend?,,,
ham,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,,,
